City	Country	Latitude	Longitude	Country_ISO3	pop	medianAge	lifeExp	maleToFemale	birthRate (1000)	deathRate (1000)	GDP	Airports	Pop Density (people/sqMile)
Lagos	Nigeria	6.45	3.3	NGA	10570	18.3	53	1.04	37.3	12.7	5900	1	17800
Al-Qahirah	Egypt	30.07	31.25	EGY	12500	23.8	72	1.05	30.3	4.7	12100	2	50180
Kinshasa	Democratic Republic of the Congo	-4.32	15.29	COD	9050	18.4	57.3	1	34.2	9.9	800	1	7400
Johannesburg	South Africa	-26.17	28	ZAF	3620	26.8	63.1	0.98	20.5	9.6	13200	3	2900
Muqdisho	Somalia	2.04	45.34	SOM	1500	17.9	52.4	1.01	40	13.3	400	2	26800
Al-Khartum	Sudan	15.55	32.52	SDN	5180	19.6	64.1	1.02	28.5	7.5	4500	2	405
Dar es Salaam	United Republic of Tanzania	-6.81	39.25	TZA	3320	17.6	62.2	0.99	36	7.8	3100	1	8100
Al-Iskandariyah	Egypt	31.2	29.9	EGY	4420	23.8	72	1.05	30.3	4.7	12100	2	3946
Abidjan	Côte d'Ivoire	5.32	-4.02	CIV	4180	20.7	58.7	1.02	28.2	9.5	3600	1	5754
Cassablanca	Morocco	33.6	-7.63	MAR	3270	28.9	76.9	0.97	18	4.8	8400	1	34579
Cape Town	South Africa	-33.97	18.48	ZAF	3360	26.8	63.1	0.98	20.5	9.6	13200	1	2800
Durban	South Africa	-29.83	30.94	ZAF	2840	26.8	63.1	0.98	20.5	9.6	13200	2	6800
Accra	Ghana	5.55	-0.2	GHA	2330	21	66.6	0.97	30.8	7.1	4400	1	3200
Nairobi	Kenya	-1.26	36.8	KEN	3360	19.5	64	1	25.1	6.8	3400	3	12600
Kano	Nigeria	11.99	8.49	NGA	3390	18.3	53	1.04	37.3	12.7	5900	2	15000
